"Gene_ID","MANE_length","Transcript_ID"
"ENSG00000000003",3768,"ENST00000373020"
"ENSG00000000005",1205,"ENST00000373031"
"ENSG00000000419",1054,"ENST00000371588"
"ENSG00000000457",6308,"ENST00000367771"
"ENSG00000000460",4011,"ENST00000359326"
"ENSG00000000938",2637,"ENST00000374005"
"ENSG00000000971",3962,"ENST00000367429"
"ENSG00000001036",2385,"ENST00000002165"
"ENSG00000001084",3785,"ENST00000650454"
"ENSG00000001167",6209,"ENST00000341376"
"ENSG00000001460",2726,"ENST00000337248"
"ENSG00000001461",5372,"ENST00000374399"
"ENSG00000001497",2470,"ENST00000374811"
"ENSG00000001561",4644,"ENST00000321037"
"ENSG00000001617",3607,"ENST00000002829"
"ENSG00000001626",6070,"ENST00000003084"
"ENSG00000001629",6340,"ENST00000265742"
"ENSG00000001630",3155,"ENST00000003100"
"ENSG00000001631",4079,"ENST00000394505"
"ENSG00000002016",3023,"ENST00000358495"
"ENSG00000002330",929,"ENST00000309032"
"ENSG00000002549",2209,"ENST00000226299"
"ENSG00000002586",1129,"ENST00000381192"
"ENSG00000002587",7160,"ENST00000002596"
"ENSG00000002726",2609,"ENST00000360937"
"ENSG00000002745",3150,"ENST00000222462"
"ENSG00000002746",9453,"ENST00000395891"
"ENSG00000002822",2695,"ENST00000265854"
"ENSG00000002834",3910,"ENST00000318008"
"ENSG00000002919",2992,"ENST00000359238"
"ENSG00000002933",1033,"ENST00000004103"
"ENSG00000003056",2450,"ENST00000000412"
"ENSG00000003096",3342,"ENST00000540167"
"ENSG00000003137",4556,"ENST00000001146"
"ENSG00000003147",2344,"ENST00000402384"
"ENSG00000003249",2056,"ENST00000002501"
"ENSG00000003393",6675,"ENST00000264276"
"ENSG00000003400",5668,"ENST00000286186"
"ENSG00000003402",14612,"ENST00000309955"
"ENSG00000003436",3859,"ENST00000233156"
"ENSG00000003509",2184,"ENST00000002125"
"ENSG00000003756",3177,"ENST00000347869"
"ENSG00000003987",5110,"ENST00000180173"
"ENSG00000003989",7615,"ENST00000494857"
"ENSG00000004059",1032,"ENST00000000233"
"ENSG00000004139",10277,"ENST00000585482"
"ENSG00000004142",2670,"ENST00000540200"
"ENSG00000004399",6913,"ENST00000324093"
"ENSG00000004455",5970,"ENST00000672715"
"ENSG00000004468",5620,"ENST00000226279"
"ENSG00000004478",3715,"ENST00000001008"
"ENSG00000004487",3085,"ENST00000400181"
"ENSG00000004534",3630,"ENST00000266022"
"ENSG00000004660",3572,"ENST00000348335"
"ENSG00000004700",3745,"ENST00000444129"
"ENSG00000004766",5684,"ENST00000305866"
"ENSG00000004776",1460,"ENST00000004982"
"ENSG00000004777",4352,"ENST00000007510"
"ENSG00000004779",665,"ENST00000007516"
"ENSG00000004799",3601,"ENST00000005178"
"ENSG00000004809",1959,"ENST00000368919"
"ENSG00000004838",1774,"ENST00000231749"
"ENSG00000004846",5350,"ENST00000404938"
"ENSG00000004848",2893,"ENST00000379044"
"ENSG00000004864",3141,"ENST00000265631"
"ENSG00000004866",2093,"ENST00000323984"
"ENSG00000004897",5830,"ENST00000066544"
"ENSG00000004939",4954,"ENST00000262418"
"ENSG00000004948",3572,"ENST00000426151"
"ENSG00000004961",2312,"ENST00000380762"
"ENSG00000004975",2989,"ENST00000005340"
"ENSG00000005001",1383,"ENST00000161006"
"ENSG00000005007",5321,"ENST00000262803"
"ENSG00000005020",3839,"ENST00000345317"
"ENSG00000005022",1307,"ENST00000317881"
"ENSG00000005059",2230,"ENST00000394650"
"ENSG00000005073",2669,"ENST00000006015"
"ENSG00000005075",937,"ENST00000292614"
"ENSG00000005100",5535,"ENST00000225296"
"ENSG00000005102",2674,"ENST00000318579"
"ENSG00000005108",10655,"ENST00000423059"
"ENSG00000005156",8382,"ENST00000378526"
"ENSG00000005175",4339,"ENST00000005386"
"ENSG00000005187",2533,"ENST00000289416"
"ENSG00000005189",2691,"ENST00000261377"
"ENSG00000005194",2021,"ENST00000394391"
"ENSG00000005206",3691,"ENST00000613503"
"ENSG00000005238",2998,"ENST00000322813"
"ENSG00000005243",914,"ENST00000621465"
"ENSG00000005249",3689,"ENST00000265717"
"ENSG00000005302",2286,"ENST00000312196"
"ENSG00000005339",10790,"ENST00000262367"
"ENSG00000005379",7698,"ENST00000343736"
"ENSG00000005381",3216,"ENST00000225275"
"ENSG00000005421",2393,"ENST00000222381"
"ENSG00000005436",4367,"ENST00000321027"
"ENSG00000005448",1147,"ENST00000348227"
"ENSG00000005469",3205,"ENST00000331536"
"ENSG00000005471",4293,"ENST00000649586"
"ENSG00000005483",7782,"ENST00000311117"
"ENSG00000005486",1721,"ENST00000006777"
"ENSG00000005513",3087,"ENST00000293894"
"ENSG00000005700",6040,"ENST00000306270"
"ENSG00000005801",3187,"ENST00000399602"
"ENSG00000005810",15077,"ENST00000544440"
"ENSG00000005812",3506,"ENST00000355619"
"ENSG00000005844",5129,"ENST00000356798"
"ENSG00000005882",3364,"ENST00000503176"
"ENSG00000005884",4889,"ENST00000320031"
"ENSG00000005889",7612,"ENST00000304543"
"ENSG00000005893",6535,"ENST00000200639"
"ENSG00000005961",3479,"ENST00000262407"
"ENSG00000005981",3784,"ENST00000325885"
"ENSG00000006007",2907,"ENST00000353258"
"ENSG00000006015",767,"ENST00000358607"
"ENSG00000006016",1741,"ENST00000392386"
"ENSG00000006025",3664,"ENST00000007414"
"ENSG00000006042",4218,"ENST00000579849"
"ENSG00000006047",1654,"ENST00000007699"
"ENSG00000006059",1303,"ENST00000007735"
"ENSG00000006062",4442,"ENST00000344686"
"ENSG00000006071",4921,"ENST00000389817"
"ENSG00000006116",1917,"ENST00000005284"
"ENSG00000006118",3498,"ENST00000453848"
"ENSG00000006125",5700,"ENST00000610402"
"ENSG00000006128",1061,"ENST00000319273"
"ENSG00000006194",3282,"ENST00000219069"
"ENSG00000006210",3285,"ENST00000006053"
"ENSG00000006282",2634,"ENST00000006658"
"ENSG00000006283",8602,"ENST00000359106"
"ENSG00000006327",977,"ENST00000326577"
"ENSG00000006377",2300,"ENST00000518156"
"ENSG00000006432",11511,"ENST00000554752"
"ENSG00000006451",2787,"ENST00000005257"
"ENSG00000006453",3645,"ENST00000005260"
"ENSG00000006459",9220,"ENST00000397560"
"ENSG00000006468",6459,"ENST00000430479"
"ENSG00000006530",3628,"ENST00000649286"
"ENSG00000006534",2811,"ENST00000342456"
"ENSG00000006555",3401,"ENST00000371276"
"ENSG00000006576",4837,"ENST00000422959"
"ENSG00000006606",475,"ENST00000005180"
"ENSG00000006607",4009,"ENST00000264042"
"ENSG00000006611",3241,"ENST00000005226"
"ENSG00000006625",1158,"ENST00000275428"
"ENSG00000006634",3655,"ENST00000265728"
"ENSG00000006638",2642,"ENST00000375190"
"ENSG00000006652",3269,"ENST00000403825"
"ENSG00000006659",599,"ENST00000392052"
"ENSG00000006695",2898,"ENST00000261643"
"ENSG00000006704",3284,"ENST00000424337"
"ENSG00000006712",2200,"ENST00000221265"
"ENSG00000006715",5854,"ENST00000310301"
"ENSG00000006740",4270,"ENST00000379672"
"ENSG00000006744",3767,"ENST00000338034"
"ENSG00000006747",9682,"ENST00000297029"
"ENSG00000006756",5145,"ENST00000381154"
"ENSG00000006757",3342,"ENST00000381042"
"ENSG00000006788",5994,"ENST00000252172"
"ENSG00000006831",3971,"ENST00000357103"
"ENSG00000006837",2222,"ENST00000265334"
"ENSG00000007001",2406,"ENST00000005756"
"ENSG00000007038",1091,"ENST00000005995"
"ENSG00000007047",5151,"ENST00000262891"
"ENSG00000007062",4021,"ENST00000447510"
"ENSG00000007080",987,"ENST00000445755"
"ENSG00000007129",1372,"ENST00000401445"
"ENSG00000007168",5589,"ENST00000397195"
"ENSG00000007171",4206,"ENST00000313735"
"ENSG00000007174",13711,"ENST00000262442"
"ENSG00000007202",7428,"ENST00000528896"
"ENSG00000007216",2360,"ENST00000314669"
"ENSG00000007237",8269,"ENST00000432992"
"ENSG00000007255",758,"ENST00000585934"
"ENSG00000007264",2098,"ENST00000310132"
"ENSG00000007306",2376,"ENST00000401731"
"ENSG00000007312",1246,"ENST00000006750"
"ENSG00000007314",7805,"ENST00000435607"
"ENSG00000007341",4255,"ENST00000358039"
"ENSG00000007350",2518,"ENST00000369915"
"ENSG00000007372",2743,"ENST00000640368"
"ENSG00000007376",2048,"ENST00000007264"
"ENSG00000007384",2992,"ENST00000262316"
"ENSG00000007392",1434,"ENST00000293872"
"ENSG00000007402",5696,"ENST00000424201"
"ENSG00000007516",4531,"ENST00000426824"
"ENSG00000007520",1210,"ENST00000007390"
"ENSG00000007541",2958,"ENST00000321878"
"ENSG00000007545",7972,"ENST00000397412"
"ENSG00000007866",2986,"ENST00000338863"
"ENSG00000007908",3875,"ENST00000333360"
"ENSG00000007923",3201,"ENST00000377577"
"ENSG00000007933",2059,"ENST00000367755"
"ENSG00000007944",3072,"ENST00000356840"
"ENSG00000007952",2543,"ENST00000372966"
"ENSG00000007968",5196,"ENST00000361729"
"ENSG00000008018",891,"ENST00000262193"
"ENSG00000008056",3210,"ENST00000295987"
"ENSG00000008083",6003,"ENST00000341776"
"ENSG00000008086",14572,"ENST00000623535"
"ENSG00000008118",2456,"ENST00000361322"
"ENSG00000008128",2984,"ENST00000404249"
"ENSG00000008130",3235,"ENST00000341426"
"ENSG00000008196",5631,"ENST00000393655"
"ENSG00000008197",2058,"ENST00000008391"
"ENSG00000008226",6899,"ENST00000308059"
"ENSG00000008256",4482,"ENST00000350796"
"ENSG00000008277",9508,"ENST00000413139"
"ENSG00000008282",2130,"ENST00000455385"
"ENSG00000008283",2929,"ENST00000360793"
"ENSG00000008294",8276,"ENST00000262013"
"ENSG00000008300",11933,"ENST00000164024"
"ENSG00000008311",5825,"ENST00000417368"
"ENSG00000008323",2969,"ENST00000684764"
"ENSG00000008324",2697,"ENST00000011691"
"ENSG00000008382",1614,"ENST00000599840"
"ENSG00000008394",925,"ENST00000396210"
"ENSG00000008405",2987,"ENST00000008527"
"ENSG00000008438",708,"ENST00000008938"
"ENSG00000008441",6019,"ENST00000592199"
"ENSG00000008513",6715,"ENST00000522652"
"ENSG00000008516",3674,"ENST00000336577"
"ENSG00000008517",818,"ENST00000525643"
"ENSG00000008710",14140,"ENST00000262304"
"ENSG00000008735",5700,"ENST00000329492"
"ENSG00000008838",3480,"ENST00000394128"
"ENSG00000008853",5482,"ENST00000251822"
"ENSG00000008869",6937,"ENST00000233099"
"ENSG00000008952",6526,"ENST00000337002"
"ENSG00000008988",519,"ENST00000009589"
"ENSG00000009307",4097,"ENST00000358528"
"ENSG00000009335",5214,"ENST00000348165"
"ENSG00000009413",10706,"ENST00000368802"
"ENSG00000009694",13547,"ENST00000422452"
"ENSG00000009709",6213,"ENST00000420770"
"ENSG00000009724",2455,"ENST00000400897"
"ENSG00000009765",8622,"ENST00000344419"
"ENSG00000009780",3579,"ENST00000373954"
"ENSG00000009790",2234,"ENST00000367025"
"ENSG00000009830",4875,"ENST00000261534"
"ENSG00000009844",6991,"ENST00000367630"
"ENSG00000009950",3252,"ENST00000313375"
"ENSG00000009954",6115,"ENST00000339594"
"ENSG00000010017",3384,"ENST00000011619"
"ENSG00000010030",1605,"ENST00000340181"
"ENSG00000010072",3223,"ENST00000295050"
"ENSG00000010165",3368,"ENST00000361735"
"ENSG00000010219",2065,"ENST00000543431"
"ENSG00000010244",13740,"ENST00000394670"
"ENSG00000010256",1595,"ENST00000203407"
"ENSG00000010270",1703,"ENST00000009041"
"ENSG00000010278",1225,"ENST00000009180"
"ENSG00000010282",1836,"ENST00000441594"
"ENSG00000010292",4825,"ENST00000315579"
"ENSG00000010295",2673,"ENST00000619571"
"ENSG00000010310",3310,"ENST00000590918"
"ENSG00000010318",2127,"ENST00000327906"
"ENSG00000010319",4993,"ENST00000231721"
"ENSG00000010322",5139,"ENST00000345716"
"ENSG00000010327",7928,"ENST00000321725"
"ENSG00000010361",1728,"ENST00000313777"
"ENSG00000010379",2188,"ENST00000343164"
"ENSG00000010404",7580,"ENST00000340855"
"ENSG00000010438",808,"ENST00000379405"
"ENSG00000010539",3008,"ENST00000414144"
"ENSG00000010610",3049,"ENST00000011653"
"ENSG00000010626",1698,"ENST00000443597"
"ENSG00000010671",2575,"ENST00000308731"
"ENSG00000010704",5176,"ENST00000357618"
"ENSG00000010803",3370,"ENST00000695335"
"ENSG00000010810",3628,"ENST00000354650"
"ENSG00000010818",9697,"ENST00000367603"
"ENSG00000010932",2152,"ENST00000617670"
"ENSG00000011007",4838,"ENST00000613537"
"ENSG00000011009",1635,"ENST00000374514"
"ENSG00000011021",5589,"ENST00000346436"
"ENSG00000011028",5719,"ENST00000303375"
"ENSG00000011083",3625,"ENST00000230671"
"ENSG00000011105",4322,"ENST00000011898"
"ENSG00000011114",8445,"ENST00000334746"
"ENSG00000011132",2176,"ENST00000316757"
"ENSG00000011143",2343,"ENST00000393119"
"ENSG00000011198",5298,"ENST00000644371"
"ENSG00000011201",6265,"ENST00000262648"
"ENSG00000011243",2078,"ENST00000397410"
"ENSG00000011258",5365,"ENST00000586178"
"ENSG00000011260",1876,"ENST00000225298"
"ENSG00000011275",5777,"ENST00000389902"
"ENSG00000011295",3050,"ENST00000261647"
"ENSG00000011304",3206,"ENST00000356948"
"ENSG00000011332",2301,"ENST00000355526"
"ENSG00000011347",7230,"ENST00000539008"
"ENSG00000011376",4781,"ENST00000645846"
"ENSG00000011405",8428,"ENST00000691414"
"ENSG00000011422",1368,"ENST00000340093"
"ENSG00000011426",4731,"ENST00000265748"
"ENSG00000011451",8987,"ENST00000673675"
"ENSG00000011454",4986,"ENST00000373647"
"ENSG00000011465",6850,"ENST00000052754"
"ENSG00000011478",2125,"ENST00000012049"
"ENSG00000011485",2139,"ENST00000012443"
"ENSG00000011523",5803,"ENST00000377990"
"ENSG00000011566",4335,"ENST00000263881"
"ENSG00000011590",2037,"ENST00000392197"
"ENSG00000011600",575,"ENST00000262629"
"ENSG00000011638",1717,"ENST00000233047"
"ENSG00000011677",3669,"ENST00000370314"
"ENSG00000012048",7088,"ENST00000357654"
"ENSG00000012061",3379,"ENST00000300853"
"ENSG00000012124",3274,"ENST00000085219"
"ENSG00000012171",3184,"ENST00000616701"
"ENSG00000012174",4446,"ENST00000379484"
"ENSG00000012211",2795,"ENST00000599218"
"ENSG00000012223",2721,"ENST00000231751"
"ENSG00000012232",8221,"ENST00000220562"
"ENSG00000012504",2739,"ENST00000392986"
"ENSG00000012660",2765,"ENST00000304434"
"ENSG00000012779",2519,"ENST00000374391"
"ENSG00000012817",6825,"ENST00000317961"
"ENSG00000012822",5576,"ENST00000550804"
"ENSG00000012963",3494,"ENST00000013070"
"ENSG00000012983",4270,"ENST00000682126"
"ENSG00000013016",4825,"ENST00000322054"
"ENSG00000013275",1754,"ENST00000157812"
"ENSG00000013288",5129,"ENST00000285599"
"ENSG00000013293",10140,"ENST00000231706"
"ENSG00000013297",2758,"ENST00000064724"
"ENSG00000013306",1581,"ENST00000377095"
"ENSG00000013364",2798,"ENST00000357402"
"ENSG00000013374",3109,"ENST00000568733"
"ENSG00000013375",6079,"ENST00000513973"
"ENSG00000013392",3769,"ENST00000369724"
"ENSG00000013441",1847,"ENST00000321356"
"ENSG00000013503",4183,"ENST00000228347"
"ENSG00000013523",5287,"ENST00000251089"
"ENSG00000013561",4170,"ENST00000394520"
"ENSG00000013563",2610,"ENST00000369807"
"ENSG00000013573",3920,"ENST00000542838"
"ENSG00000013583",1159,"ENST00000014930"
"ENSG00000013588",6582,"ENST00000014914"
"ENSG00000013619",4816,"ENST00000370401"
"ENSG00000013725",3252,"ENST00000313421"
"ENSG00000013810",2799,"ENST00000313288"
"ENSG00000014123",4226,"ENST00000369278"
"ENSG00000014138",3544,"ENST00000265465"
"ENSG00000014164",3270,"ENST00000262577"
"ENSG00000014216",2952,"ENST00000279247"
"ENSG00000014257",3174,"ENST00000336375"
"ENSG00000014641",1296,"ENST00000233114"
"ENSG00000014824",6164,"ENST00000264451"
"ENSG00000014914",2840,"ENST00000439741"
"ENSG00000014919",5030,"ENST00000016171"
"ENSG00000015133",7519,"ENST00000389857"
"ENSG00000015153",4096,"ENST00000534854"
"ENSG00000015171",4100,"ENST00000381604"
"ENSG00000015285",1829,"ENST00000376701"
"ENSG00000015413",1631,"ENST00000690203"
"ENSG00000015475",2177,"ENST00000622694"
"ENSG00000015479",5069,"ENST00000394805"
"ENSG00000015520",4982,"ENST00000381160"
"ENSG00000015532",3507,"ENST00000017003"
"ENSG00000015568",7268,"ENST00000016946"
"ENSG00000015592",2321,"ENST00000350889"
"ENSG00000015676",8036,"ENST00000355451"
"ENSG00000016082",2394,"ENST00000230658"
"ENSG00000016391",7694,"ENST00000315251"
"ENSG00000016402",3486,"ENST00000316649"
